"No.","Time","Source","Destination","Protocol","Length","Info"
"1104","2019-08-11 15:47:49.733685","10.0.0.66","10.0.0.1","UDP","60","5000  >  22 Len=5"
"1106","2019-08-11 15:47:51.818589","10.0.0.66","10.0.0.1","UDP","60","5112  >  22 Len=5"
"1108","2019-08-11 15:47:53.913423","10.0.0.75","10.0.0.1","UDP","60","5097  >  100 Len=5"
"1110","2019-08-11 15:47:55.998257","10.0.0.75","10.0.0.1","UDP","60","5097  >  100 Len=5"
"1112","2019-08-11 15:47:58.089243","10.0.0.75","10.0.0.1","UDP","60","5097  >  100 Len=5"
"1114","2019-08-11 15:48:00.181559","10.0.0.75","10.0.0.1","UDP","60","5097  >  100 Len=5"
"1116","2019-08-11 15:48:02.275002","10.0.0.75","10.0.0.1","UDP","60","5097  >  100 Len=5"
"1118","2019-08-11 15:48:04.373648","10.0.0.66","10.0.0.1","UDP","60","5105  >  22 Len=5"
"1120","2019-08-11 15:48:06.242389","fe80::20c:29ff:fef7:6ad","ff02::fb","MDNS","180","Standard query 0x0000 PTR _nfs._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question"
"1121","2019-08-11 15:48:06.242800","10.0.0.6","224.0.0.251","MDNS","160","Standard query 0x0000 PTR _nfs._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question"
"1122","2019-08-11 15:48:06.469794","10.0.0.66","10.0.0.1","UDP","60","5099  >  22 Len=5"
"1124","2019-08-11 15:48:08.575016","10.0.0.66","10.0.0.1","UDP","60","5111  >  22 Len=5"
"1129","2019-08-11 15:48:10.681763","10.0.0.66","10.0.0.1","UDP","60","5067  >  22 Len=5"
"1131","2019-08-11 15:48:12.773378","10.0.0.66","10.0.0.1","UDP","60","5084  >  22 Len=5"
"1133","2019-08-11 15:48:14.865905","10.0.0.66","10.0.0.1","UDP","60","5070  >  22 Len=5"
"1135","2019-08-11 15:48:16.953527","10.0.0.66","10.0.0.1","UDP","60","5123  >  22 Len=5"
"1137","2019-08-11 15:48:19.045441","10.0.0.66","10.0.0.1","UDP","60","5112  >  22 Len=5"
"1139","2019-08-11 15:48:21.137728","10.0.0.66","10.0.0.1","UDP","60","5049  >  22 Len=5"
"1141","2019-08-11 15:48:23.229996","10.0.0.66","10.0.0.1","UDP","60","5076  >  22 Len=5"
"1143","2019-08-11 15:48:25.313978","10.0.0.66","10.0.0.1","UDP","60","5076  >  22 Len=5"
"1145","2019-08-11 15:48:27.401354","10.0.0.66","10.0.0.1","UDP","60","5102  >  22 Len=5"
"1147","2019-08-11 15:48:29.481047","10.0.0.66","10.0.0.1","UDP","60","5051  >  22 Len=5"
"1149","2019-08-11 15:48:31.561521","10.0.0.75","10.0.0.1","UDP","60","5097  >  100 Len=5"
"1151","2019-08-11 15:48:33.645446","10.0.0.75","10.0.0.1","UDP","60","5097  >  100 Len=5"
"1156","2019-08-11 15:48:35.737700","10.0.0.75","10.0.0.1","UDP","60","5097  >  100 Len=5"
"1158","2019-08-11 15:48:37.821318","10.0.0.75","10.0.0.1","UDP","60","5097  >  100 Len=5"
"1160","2019-08-11 15:48:39.905635","10.0.0.75","10.0.0.1","UDP","60","5097  >  100 Len=5"
"1162","2019-08-11 15:48:41.997217","10.0.0.66","10.0.0.1","UDP","60","5114  >  22 Len=5"
"1164","2019-08-11 15:48:44.081208","10.0.0.66","10.0.0.1","UDP","60","5051  >  22 Len=5"
"1166","2019-08-11 15:48:46.165429","10.0.0.66","10.0.0.1","UDP","60","5100  >  22 Len=5"
"1168","2019-08-11 15:48:48.241228","10.0.0.75","10.0.0.1","UDP","60","5097  >  100 Len=5"
"1170","2019-08-11 15:48:50.321250","10.0.0.75","10.0.0.1","UDP","60","5097  >  100 Len=5"
"1172","2019-08-11 15:48:52.401317","10.0.0.66","10.0.0.1","UDP","60","5095  >  22 Len=5"
"1174","2019-08-11 15:48:54.485067","10.0.0.62","10.0.0.1","NTP","60","NTP Version 4, symmetric active[Malformed Packet]"
"1176","2019-08-11 15:48:56.577473","10.0.0.75","10.0.0.1","UDP","60","5097  >  100 Len=5"
"1178","2019-08-11 15:48:58.653608","10.0.0.66","10.0.0.1","UDP","60","5100  >  22 Len=5"
"1180","2019-08-11 15:49:00.765989","10.0.0.66","10.0.0.1","UDP","60","5097  >  22 Len=5"
"1185","2019-08-11 15:49:02.841274","10.0.0.67","10.0.0.1","UDP","60","5097  >  80 Len=3"
"1187","2019-08-11 15:49:04.926203","10.0.0.66","10.0.0.1","UDP","60","5116  >  22 Len=5"
"1189","2019-08-11 15:49:07.013726","10.0.0.66","10.0.0.1","UDP","60","5097  >  22 Len=5"
"1191","2019-08-11 15:49:08.477681","192.168.2.1","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"1192","2019-08-11 15:49:09.105391","10.0.0.66","10.0.0.1","UDP","60","5095  >  22 Len=5"
"1194","2019-08-11 15:49:09.475627","192.168.2.1","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"1195","2019-08-11 15:49:10.476558","192.168.2.1","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"1196","2019-08-11 15:49:11.189773","10.0.0.66","10.0.0.1","UDP","60","5118  >  22 Len=5"
"1198","2019-08-11 15:49:11.477048","192.168.2.1","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"1199","2019-08-11 15:49:13.273317","10.0.0.66","10.0.0.1","UDP","60","5049  >  22 Len=5"
"1201","2019-08-11 15:49:15.357416","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1203","2019-08-11 15:49:17.449217","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1205","2019-08-11 15:49:19.533140","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1207","2019-08-11 15:49:21.625350","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1209","2019-08-11 15:49:23.717888","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1211","2019-08-11 15:49:25.805565","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1216","2019-08-11 15:49:27.881404","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1218","2019-08-11 15:49:29.969131","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1220","2019-08-11 15:49:32.049211","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1222","2019-08-11 15:49:34.141763","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1224","2019-08-11 15:49:36.229877","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1226","2019-08-11 15:49:38.313379","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1228","2019-08-11 15:49:40.405332","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1230","2019-08-11 15:49:42.485064","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1232","2019-08-11 15:49:44.569387","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1234","2019-08-11 15:49:46.645331","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1236","2019-08-11 15:49:48.733406","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1238","2019-08-11 15:49:50.817372","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1240","2019-08-11 15:49:52.909430","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1245","2019-08-11 15:49:54.989075","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1247","2019-08-11 15:49:57.085321","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1249","2019-08-11 15:49:59.177365","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1251","2019-08-11 15:50:01.269939","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1253","2019-08-11 15:50:03.353076","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1255","2019-08-11 15:50:05.429517","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1257","2019-08-11 15:50:07.521479","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1259","2019-08-11 15:50:09.609962","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1261","2019-08-11 15:50:11.689044","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1263","2019-08-11 15:50:13.769197","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1265","2019-08-11 15:50:15.853336","10.0.0.101","10.0.0.88","UDP","60","1234  >  1234 Len=5"
"1267","2019-08-11 15:50:17.933240","10.0.0.66","10.0.0.1","UDP","60","5097  >  22 Len=5"
"1272","2019-08-11 15:50:20.017222","10.0.0.66","10.0.0.1","UDP","60","5095  >  22 Len=5"
"1274","2019-08-11 15:50:22.101652","10.0.0.66","10.0.0.1","UDP","60","5115  >  22 Len=5"
"1276","2019-08-11 15:50:24.189495","10.0.0.66","10.0.0.1","UDP","60","5116  >  22 Len=5"
"1278","2019-08-11 15:50:26.277254","10.0.0.75","10.0.0.1","UDP","60","5097  >  100 Len=5"
"1280","2019-08-11 15:50:28.357356","10.0.0.75","10.0.0.1","UDP","60","5097  >  100 Len=5"
"1282","2019-08-11 15:50:30.441165","10.0.0.75","10.0.0.1","UDP","60","5097  >  100 Len=5"
"1284","2019-08-11 15:50:32.529287","10.0.0.66","10.0.0.1","UDP","60","5051  >  22 Len=5"
"1286","2019-08-11 15:50:34.621287","10.0.0.66","10.0.0.1","UDP","60","5103  >  22 Len=5"
"1288","2019-08-11 15:50:36.705614","10.0.0.75","10.0.0.1","UDP","60","5097  >  100 Len=5"
"1290","2019-08-11 15:50:38.785124","10.0.0.75","10.0.0.1","UDP","60","5097  >  100 Len=5"
"1292","2019-08-11 15:50:40.865146","10.0.0.75","10.0.0.1","UDP","60","5097  >  100 Len=5"
"1294","2019-08-11 15:50:42.941321","10.0.0.75","10.0.0.1","UDP","60","5097  >  100 Len=5"
"1296","2019-08-11 15:50:45.029185","10.0.0.66","10.0.0.1","UDP","60","5048  >  22 Len=5"
"1301","2019-08-11 15:50:47.121734","10.0.0.66","10.0.0.1","UDP","60","5125  >  22 Len=5"
"1303","2019-08-11 15:50:49.205394","10.0.0.80","10.0.0.1","UDP","60","5000  >  22 Len=3"
